Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.,
145,883,B,5,H,1,134.5,37.745,110,                  ,
145,883,B,5,H,1,139.5,37.795,108,                  ,
145,883,B,5,H,1,144.5,37.845,121,                  ,
145,883,B,5,H,1,149.7,37.897,122,                  ,
145,883,B,5,H,2,4.5,37.945,126,                  ,
145,883,B,5,H,2,9.5,37.995,148,                  ,
145,883,B,5,H,2,14.5,38.045,141,                  ,
145,883,B,5,H,2,19.6,38.096,109,                  ,
145,883,B,5,H,2,24.5,38.145,96,                  ,
145,883,B,5,H,2,29.6,38.196,150,                  ,
145,883,B,5,H,2,34.5,38.245,121,                  ,
145,883,B,5,H,2,39.5,38.295,78,                  ,
145,883,B,5,H,2,44.6,38.346,53,                  ,
145,883,B,5,H,2,49.5,38.395,24,                  ,
145,883,B,5,H,2,54.5,38.445,21,                  ,
145,883,B,5,H,2,59.5,38.495,26,                  ,
145,883,B,5,H,2,64.6,38.546,50,                  ,
145,883,B,5,H,2,69.5,38.595,92,                  ,
145,883,B,5,H,2,74.5,38.645,89,                  ,
145,883,B,5,H,2,79.6,38.696,71,                  ,
145,883,B,5,H,2,84.7,38.747,54,                  ,
145,883,B,5,H,2,89.5,38.795,32,                  ,
145,883,B,5,H,2,94.7,38.847,64,                  ,
145,883,B,5,H,2,99.6,38.896,58,                  ,
145,883,B,5,H,2,104.5,38.945,110,                  ,
145,883,B,5,H,2,109.5,38.995,126,                  ,
145,883,B,5,H,2,114.6,39.046,131,                  ,
145,883,B,5,H,2,119.7,39.097,129,                  ,
145,883,B,5,H,2,124.5,39.145,109,                  ,
145,883,B,5,H,2,129.5,39.195,102,                  ,
145,883,B,5,H,2,134.5,39.245,85,                  ,
145,883,B,5,H,2,139.5,39.295,76,                  ,
145,883,B,5,H,2,144.5,39.345,88,                  ,
145,883,B,5,H,2,149.7,39.397,87,                  ,
145,883,B,5,H,3,4.6,39.446,118,                  ,
145,883,B,5,H,3,9.5,39.495,116,                  ,
145,883,B,5,H,3,14.5,39.545,70,                  ,
145,883,B,5,H,3,19.6,39.596,34,                  ,
145,883,B,5,H,3,24.6,39.646,19,                  ,
145,883,B,5,H,3,29.5,39.695,14,                  ,
145,883,B,5,H,3,34.5,39.745,12,                  ,
145,883,B,5,H,3,39.5,39.795,13,                  ,
145,883,B,5,H,3,44.5,39.845,16,                  ,
145,883,B,5,H,3,49.5,39.895,36,                  ,
145,883,B,5,H,3,54.5,39.945,98,                  ,
145,883,B,5,H,3,59.5,39.995,121,                  ,
145,883,B,5,H,3,64.6,40.046,121,                  ,
145,883,B,5,H,3,69.6,40.096,124,                  ,
145,883,B,5,H,3,74.6,40.146,103,                  ,
145,883,B,5,H,3,79.6,40.196,59,                  ,
145,883,B,5,H,3,84.6,40.246,27,                  ,
145,883,B,5,H,3,89.7,40.297,20,                  ,
145,883,B,5,H,3,94.6,40.346,18,                  ,
145,883,B,5,H,3,99.6,40.396,20,                  ,
145,883,B,5,H,3,104.5,40.445,42,                  ,
145,883,B,5,H,3,109.5,40.495,127,                  ,
145,883,B,5,H,3,114.6,40.546,141,                  ,
145,883,B,5,H,3,119.7,40.597,115,                  ,
145,883,B,5,H,3,124.6,40.646,89,                  ,
145,883,B,5,H,3,129.6,40.696,78,                  ,
145,883,B,5,H,3,134.6,40.746,80,                  ,
145,883,B,5,H,3,139.5,40.795,83,                  ,
145,883,B,5,H,3,144.5,40.845,69,                  ,
145,883,B,5,H,3,149.7,40.897,59,                  ,
145,883,B,5,H,4,4.6,40.946,76,                  ,
145,883,B,5,H,4,9.5,40.995,87,                  ,
145,883,B,5,H,4,14.6,41.046,90,                  ,
145,883,B,5,H,4,19.5,41.095,111,                  ,
145,883,B,5,H,4,24.5,41.145,107,                  ,
145,883,B,5,H,4,29.5,41.195,103,                  ,
145,883,B,5,H,4,34.5,41.245,105,                  ,
145,883,B,5,H,4,39.5,41.295,103,                  ,
145,883,B,5,H,4,44.5,41.345,114,                  ,
145,883,B,5,H,4,49.5,41.395,121,                  ,
145,883,B,5,H,4,54.5,41.445,130,                  ,
145,883,B,5,H,4,59.5,41.495,172,                  ,
145,883,B,5,H,4,64.7,41.547,79,                  ,
145,883,B,5,H,4,69.5,41.595,80,                  ,
145,883,B,5,H,4,74.5,41.645,62,                  ,
145,883,B,5,H,4,79.5,41.695,66,                  ,
145,883,B,5,H,4,84.6,41.746,71,                  ,
145,883,B,5,H,4,89.5,41.795,57,                  ,
145,883,B,5,H,4,94.5,41.845,50,                  ,
145,883,B,5,H,4,99.5,41.895,38,                  ,
145,883,B,5,H,4,104.5,41.945,36,                  ,
145,883,B,5,H,4,109.5,41.995,34,                  ,
145,883,B,5,H,4,114.6,42.046,29,                  ,
145,883,B,5,H,4,119.6,42.096,25,                  ,
145,883,B,5,H,4,124.7,42.147,29,                  ,
145,883,B,5,H,4,129.5,42.195,35,                  ,
145,883,B,5,H,4,134.5,42.245,40,                  ,
145,883,B,5,H,4,139.5,42.295,36,                  ,
145,883,B,5,H,4,144.6,42.346,30,                  ,
145,883,B,5,H,5,4.5,42.445,86,                  ,
145,883,B,5,H,5,9.5,42.495,94,                  ,
145,883,B,5,H,5,14.5,42.545,91,                  ,
145,883,B,5,H,5,19.5,42.595,93,                  ,
145,883,B,5,H,5,24.7,42.647,90,                  ,
145,883,B,5,H,5,29.7,42.697,70,                  ,
145,883,B,5,H,5,34.6,42.746,39,                  ,
145,883,B,5,H,5,39.5,42.795,25,                  ,
145,883,B,5,H,5,44.5,42.845,29,                  ,
145,883,B,5,H,5,49.5,42.895,24,                  ,
145,883,B,5,H,5,54.5,42.945,34,                  ,
145,883,B,5,H,5,59.5,42.995,86,                  ,
145,883,B,5,H,5,64.5,43.045,95,                  ,
145,883,B,5,H,5,69.5,43.095,54,                  ,
145,883,B,5,H,5,74.5,43.145,46,                  ,
145,883,B,5,H,5,79.5,43.195,40,                  ,
145,883,B,5,H,5,84.6,43.246,59,                  ,
145,883,B,5,H,5,89.5,43.295,64,                  ,
145,883,B,5,H,5,94.5,43.345,72,                  ,
145,883,B,5,H,5,99.5,43.395,66,                  ,
145,883,B,5,H,5,104.5,43.445,74,                  ,
145,883,B,5,H,5,109.7,43.497,68,                  ,
145,883,B,5,H,5,114.6,43.546,80,                  ,
145,883,B,5,H,5,119.5,43.595,88,                  ,
145,883,B,5,H,5,124.5,43.645,107,                  ,
145,883,B,5,H,5,129.5,43.695,98,                  ,
145,883,B,5,H,5,134.5,43.745,77,                  ,
145,883,B,5,H,5,139.5,43.795,69,                  ,
145,883,B,5,H,5,144.6,43.846,55,                  ,
145,883,B,5,H,5,149.6,43.896,99,                  ,
145,883,B,5,H,6,4.5,43.945,92,                  ,
145,883,B,5,H,6,9.5,43.995,53,                  ,
145,883,B,5,H,6,14.5,44.045,118,                  ,
145,883,B,5,H,6,19.5,44.095,139,                  ,
145,883,B,5,H,6,24.5,44.145,97,                  ,
145,883,B,5,H,6,29.5,44.195,101,                  ,
145,883,B,5,H,6,34.5,44.245,112,                  ,
145,883,B,5,H,6,39.6,44.296,100,                  ,
145,883,B,5,H,6,44.5,44.345,89,                  ,
145,883,B,5,H,6,49.5,44.395,76,                  ,
145,883,B,5,H,6,54.5,44.445,73,                  ,
145,883,B,5,H,6,59.5,44.495,85,                  ,
145,883,B,5,H,6,64.6,44.546,84,                  ,
145,883,B,5,H,6,69.5,44.595,79,                  ,
145,883,B,5,H,6,74.5,44.645,67,                  ,
145,883,B,5,H,6,79.5,44.695,55,                  ,
145,883,B,5,H,6,84.5,44.745,44,                  ,
145,883,B,5,H,6,89.5,44.795,29,                  ,
145,883,B,5,H,6,94.5,44.845,26,                  ,
145,883,B,5,H,6,99.6,44.896,25,                  ,
145,883,B,5,H,6,104.6,44.946,23,        ,   
