Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,A,1,H,1,8.17,0.082,26.428,4.669931163,12.27196068
145,887,A,1,H,1,8.35,0.083,26.062,4.670972074,12.28523523
145,887,A,1,H,1,8.29,0.083,26.192,4.667621702,12.28114033
145,887,A,1,H,1,8.41,0.084,25.929,4.669325847,12.28733351
145,887,A,1,H,1,8.52,0.085,25.589,4.667649932,12.29418917
145,887,A,1,H,1,8.47,0.085,25.779,4.667683021,12.29043519
145,887,A,1,H,1,8.64,0.086,25.379,4.653380154,12.29340832
145,887,A,1,H,1,8.58,0.086,25.457,4.662013342,12.29529705
145,887,A,1,H,1,8.7,0.087,25.218,4.646750367,12.28452297
145,887,A,1,H,1,8.82,0.088,24.988,4.633500997,12.30276243
145,887,A,1,H,1,8.76,0.088,25.098,4.643123981,12.29264101
145,887,A,1,H,1,8.93,0.089,24.723,4.621867693,12.31466051
145,887,A,1,H,1,8.88,0.089,24.848,4.624881414,12.30988724
145,887,A,1,H,1,8.99,0.09,24.547,4.622254346,12.32079153
145,887,A,1,H,1,9.11,0.091,24.127,4.630037857,12.33406372
145,887,A,1,H,1,9.05,0.091,24.331,4.628644401,12.32992593
145,887,A,1,H,1,9.23,0.092,23.946,4.627834972,12.34134946
145,887,A,1,H,1,9.17,0.092,23.951,4.634434714,12.3392049
145,887,A,1,H,1,9.34,0.093,23.718,4.624244281,12.34128996
145,887,A,1,H,1,9.28,0.093,23.866,4.625837786,12.34013918
145,887,A,1,H,1,9.4,0.094,23.586,4.623654176,12.34244411
145,887,A,1,H,1,9.52,0.095,23.268,4.628484172,12.34776259
145,887,A,1,H,1,9.46,0.095,23.483,4.623067474,12.33960166
145,887,A,1,H,1,9.63,0.096,23.074,4.63992362,12.35673308
145,887,A,1,H,1,9.58,0.096,23.101,4.638904272,12.3399269
145,887,A,1,H,1,9.69,0.097,22.91,4.650349956,12.37590361
145,887,A,1,H,1,9.81,0.098,22.607,4.676212832,12.40025481
145,887,A,1,H,1,9.75,0.098,22.739,4.665779693,12.39007752
145,887,A,1,H,1,9.93,0.099,22.232,4.694089313,12.40961956
145,887,A,1,H,1,9.87,0.099,22.397,4.686649372,12.40643549
145,887,A,1,H,1,9.98,0.1,22.106,4.701125196,12.4124422
145,887,A,1,H,1,10.04,0.1,22.148,4.705571373,12.40763248
145,887,A,1,H,1,10.1,0.101,22.098,4.711020952,12.40482614
145,887,A,1,H,1,10.22,0.102,22.136,4.716930313,12.39222362
145,887,A,1,H,1,10.16,0.102,22.139,4.713473932,12.40502318
145,887,A,1,H,1,10.28,0.103,22.232,4.718390096,12.36642744
145,887,A,1,H,1,10.33,0.103,22.321,4.712442513,12.35026654
145,887,A,1,H,1,10.39,0.104,22.238,4.707908531,12.33547657
145,887,A,1,H,1,10.45,0.105,22.21,4.705377951,12.32468998
145,887,A,1,H,1,10.51,0.105,22.294,4.692850773,12.31090678
145,887,A,1,H,1,10.57,0.106,22.376,4.672326995,12.36812696
145,887,A,1,H,1,10.63,0.106,22.481,4.660806619,12.39835054
145,887,A,1,H,1,10.74,0.107,22.455,4.638361431,12.34943588
145,887,A,1,H,1,10.69,0.107,22.476,4.647289645,12.38657749
145,887,A,1,H,1,10.8,0.108,22.504,4.624850692,12.28266904
145,887,A,1,H,1,10.86,0.109,22.45,4.613343355,12.20190559
145,887,A,1,H,1,10.92,0.109,22.454,4.611839419,12.09014553
145,887,A,1,H,1,11.04,0.11,22.272,4.730841751,11.86063556
145,887,A,1,H,1,10.98,0.11,22.366,4.630338885,11.96538885
145,887,A,1,H,1,11.09,0.111,22.056,4.803930072,11.72051041
145,887,A,1,H,1,11.21,0.112,21.503,4.857951679,11.42101963
145,887,A,1,H,1,11.15,0.112,21.813,4.846439175,11.57276332
145,887,A,1,H,1,11.33,0.113,20.879,4.801986891,11.12054239
145,887,A,1,H,1,11.27,0.113,21.101,4.843467584,11.26627932
145,887,A,1,H,1,11.44,0.114,20.667,4.657614455,10.85170016
145,887,A,1,H,1,11.39,0.114,20.743,4.739509599,10.98280885
145,887,A,1,H,1,11.5,0.115,20.537,4.558143399,10.73097283
145,887,A,1,H,1,11.62,0.116,20.444,4.314211491,10.52952832
145,887,A,1,H,1,11.56,0.116,20.534,4.442675744,10.61924888
145,887,A,1,H,1,11.74,0.117,20.149,4.033293189,10.44809736
145,887,A,1,H,1,11.68,0.117,20.33,4.174750639,10.47081115
145,887,A,1,H,1,11.79,0.118,20.065,3.896414578,10.44500513
145,887,A,1,H,1,11.85,0.119,20.081,3.755963364,10.46429755
145,887,A,1,H,1,11.91,0.119,20.109,3.614515551,10.51159336
145,887,A,1,H,1,11.97,0.12,20.193,3.429071139,10.57189255
