Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,C,1,H,1,6.88,0.069,32.238,4.245296488,14.38812568
145,887,C,1,H,1,6.99,0.07,31.961,4.264222214,14.40666297
145,887,C,1,H,1,7.11,0.071,31.739,4.291963311,14.43697922
145,887,C,1,H,1,7.05,0.071,31.854,4.279092248,14.42332073
145,887,C,1,H,1,7.23,0.072,31.535,4.311708521,14.45829844
145,887,C,1,H,1,7.17,0.072,31.625,4.304835402,14.45163846
145,887,C,1,H,1,7.34,0.073,31.431,4.328645244,14.47484366
145,887,C,1,H,1,7.28,0.073,31.471,4.321770239,14.46818232
145,887,C,1,H,1,7.4,0.074,31.389,4.334521276,14.47850574
145,887,C,1,H,1,7.51,0.075,31.24,4.352463341,14.4940548
145,887,C,1,H,1,7.46,0.075,31.32,4.341398337,14.48316856
145,887,C,1,H,1,7.63,0.076,31.097,4.370222261,14.5073839
145,887,C,1,H,1,7.57,0.076,31.151,4.361342287,14.50171898
145,887,C,1,H,1,7.75,0.077,30.981,4.396985296,14.53071596
145,887,C,1,H,1,7.69,0.077,31.064,4.380103264,14.51504956
145,887,C,1,H,1,7.8,0.078,30.866,4.41305444,14.54560519
145,887,C,1,H,1,7.92,0.079,30.593,4.438823302,14.56494145
145,887,C,1,H,1,7.86,0.079,30.724,4.427938357,14.55827295
145,887,C,1,H,1,8.03,0.08,30.538,4.455781705,14.57350229
145,887,C,1,H,1,7.98,0.08,30.541,4.449709275,14.57361069
145,887,C,1,H,1,8.09,0.081,30.498,4.465669563,14.58017288
145,887,C,1,H,1,8.21,0.082,30.317,4.471448364,14.5735163
145,887,C,1,H,1,8.15,0.082,30.416,4.468558449,14.57584422
145,887,C,1,H,1,8.32,0.083,30.096,4.481415879,14.57408371
145,887,C,1,H,1,8.27,0.083,30.201,4.476339308,14.57318913
145,887,C,1,H,1,8.44,0.084,29.864,4.492202564,14.57943281
145,887,C,1,H,1,8.38,0.084,29.978,4.487308708,14.57775789
145,887,C,1,H,1,8.5,0.085,29.781,4.494097449,14.57810847
145,887,C,1,H,1,8.61,0.086,29.531,4.500074076,14.58368244
145,887,C,1,H,1,8.55,0.086,29.663,4.497177306,14.58000542
145,887,C,1,H,1,8.73,0.087,29.236,4.513870702,14.5990387
145,887,C,1,H,1,8.67,0.087,29.384,4.506971875,14.5913602
145,887,C,1,H,1,8.84,0.088,29.007,4.528854555,14.61761788
145,887,C,1,H,1,8.79,0.088,29.098,4.523770557,14.60971794
145,887,C,1,H,1,8.9,0.089,28.849,4.540756296,14.63229848
145,887,C,1,H,1,9.02,0.09,28.568,4.565562862,14.6636619
145,887,C,1,H,1,8.96,0.09,28.711,4.552659064,14.64697982
145,887,C,1,H,1,9.13,0.091,28.264,4.590555827,14.69624764
145,887,C,1,H,1,9.08,0.091,28.434,4.578467687,14.68134472
145,887,C,1,H,1,9.25,0.092,28.014,4.607370277,14.71361674
145,887,C,1,H,1,9.19,0.092,28.097,4.599462538,14.70593182
145,887,C,1,H,1,9.31,0.093,27.854,4.614279044,14.72330241
145,887,C,1,H,1,9.42,0.094,27.508,4.634281121,14.74289471
145,887,C,1,H,1,9.36,0.094,27.681,4.625370469,14.73320769
145,887,C,1,H,1,9.54,0.095,27.102,4.654105511,14.76527098
145,887,C,1,H,1,9.48,0.095,27.339,4.645192802,14.75558248
145,887,C,1,H,1,9.6,0.096,26.873,4.666019248,14.77596022
145,887,C,1,H,1,9.71,0.097,26.604,4.680030438,14.7835591
145,887,C,1,H,1,9.65,0.097,26.679,4.677114815,14.78386849
145,887,C,1,H,1,9.83,0.098,26.321,4.701864768,14.79394252
145,887,C,1,H,1,9.77,0.098,26.427,4.693947089,14.79025044
145,887,C,1,H,1,9.94,0.099,26.015,4.724883184,14.8025466
145,887,C,1,H,1,9.88,0.099,26.201,4.71096362,14.79685316
145,887,C,1,H,1,10,0.1,25.869,4.745803777,14.81224078
145,887,C,1,H,1,10.12,0.101,25.837,4.762648047,14.82063137
145,887,C,1,H,1,10.06,0.101,25.862,4.751725398,14.81593571
145,887,C,1,H,1,10.23,0.102,25.518,4.794675575,14.83524202
145,887,C,1,H,1,10.17,0.102,25.659,4.782751041,14.83154499
